Timestamp,Ticker,Action,Price,Volume
2025-01-01 09:30:00,ALFA,BUY,100.0,2989
2025-01-02 09:30:00,ALFA,SELL,100.19,3671
2025-01-03 09:30:00,ALFA,HOLD,99.86,977
2025-01-04 09:30:00,ALFA,BUY,100.31,1760
2025-01-05 09:30:00,ALFA,SELL,102.49,2399
2025-01-06 09:30:00,ALFA,HOLD,102.26,3427
2025-01-07 09:30:00,ALFA,BUY,102.67,3412
2025-01-08 09:30:00,ALFA,SELL,104.74,1769
2025-01-09 09:30:00,ALFA,HOLD,104.96,3969
2025-01-10 09:30:00,ALFA,BUY,105.36,2224
2025-01-11 09:30:00,ALFA,SELL,107.04,2430
2025-01-12 09:30:00,ALFA,HOLD,105.91,3985
2025-01-13 09:30:00,ALFA,BUY,104.35,1891
2025-01-14 09:30:00,ALFA,SELL,105.04,3964
2025-01-15 09:30:00,ALFA,HOLD,108.05,3543
2025-01-16 09:30:00,ALFA,BUY,109.41,2760
2025-01-17 09:30:00,ALFA,SELL,109.84,1252
2025-01-18 09:30:00,ALFA,HOLD,106.42,2447
2025-01-19 09:30:00,ALFA,BUY,109.99,3435
2025-01-20 09:30:00,ALFA,SELL,111.57,2813
2025-01-01 09:30:00,BETA,SELL,122.7,2014
2025-01-02 09:30:00,BETA,HOLD,125.82,1592
2025-01-03 09:30:00,BETA,BUY,124.73,3900
2025-01-04 09:30:00,BETA,SELL,128.39,3014
2025-01-05 09:30:00,BETA,HOLD,126.19,2364
2025-01-06 09:30:00,BETA,BUY,129.33,811
2025-01-07 09:30:00,BETA,SELL,127.72,2508
2025-01-08 09:30:00,BETA,HOLD,129.37,1656
2025-01-09 09:30:00,BETA,BUY,129.9,3807
2025-01-10 09:30:00,BETA,SELL,130.51,3510
2025-01-11 09:30:00,BETA,HOLD,133.04,2315
2025-01-12 09:30:00,BETA,BUY,132.89,1092
2025-01-13 09:30:00,BETA,SELL,132.38,2761
2025-01-14 09:30:00,BETA,HOLD,135.8,3588
2025-01-15 09:30:00,BETA,BUY,134.54,1146
2025-01-16 09:30:00,BETA,SELL,134.11,989
2025-01-17 09:30:00,BETA,HOLD,135.47,1522
2025-01-18 09:30:00,BETA,BUY,136.22,1280
2025-01-19 09:30:00,BETA,SELL,135.7,2641
2025-01-20 09:30:00,BETA,HOLD,138.56,3931
2025-01-01 09:30:00,CORA,HOLD,148.99,2226
2025-01-02 09:30:00,CORA,BUY,149.91,2841
2025-01-03 09:30:00,CORA,SELL,151.39,2597
2025-01-04 09:30:00,CORA,HOLD,150.93,2209
2025-01-05 09:30:00,CORA,BUY,152.11,3443
2025-01-06 09:30:00,CORA,SELL,154.72,1109
2025-01-07 09:30:00,CORA,HOLD,151.61,824
2025-01-08 09:30:00,CORA,BUY,155.17,2949
2025-01-09 09:30:00,CORA,SELL,151.81,1097
2025-01-10 09:30:00,CORA,HOLD,155.25,2919
2025-01-11 09:30:00,CORA,BUY,157.89,2344
2025-01-12 09:30:00,CORA,SELL,156.11,3823
2025-01-13 09:30:00,CORA,HOLD,156.65,1698
2025-01-14 09:30:00,CORA,BUY,160.09,1265
2025-01-15 09:30:00,CORA,SELL,157.76,1585
2025-01-16 09:30:00,CORA,HOLD,159.53,2567
2025-01-17 09:30:00,CORA,BUY,159.42,3902
2025-01-18 09:30:00,CORA,SELL,158.53,2853
2025-01-19 09:30:00,CORA,HOLD,160.78,3946
2025-01-20 09:30:00,CORA,BUY,163.15,2115
